Date : 2025-08-23 05:02:00
Directory : /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap
Total : 68 files,  11683 codes, 284 comments, 582 blanks, all 12549 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| app/api/export/xlsx                                                                        |          1 |         86 |          4 |         11 |        101 |
| app/api/health                                                                             |          1 |         20 |          2 |          5 |         27 |
| app/api/insights                                                                           |          2 |        135 |         13 |         31 |        179 |
| app/api/insights (Files)                                                                   |          1 |         55 |          5 |         14 |         74 |
| app/api/insights/placeholder                                                               |          1 |         80 |          8 |         17 |        105 |
| app/api/menus                                                                              |          1 |         69 |          6 |         14 |         89 |
| app/api/menus/placeholder                                                                  |          1 |         69 |          6 |         14 |         89 |
| app/api/ping                                                                               |          1 |         11 |          1 |          3 |         15 |
| app/api/search                                                                             |          2 |        236 |         25 |         43 |        304 |
| app/api/search (Files)                                                                     |          1 |        194 |         16 |         33 |        243 |
| app/api/search/[id]                                                                        |          1 |         42 |          9 |         10 |         61 |
| app/api/watchlist                                                                          |          1 |         60 |          3 |         12 |         75 |
| app/api/whoami                                                                             |          1 |         13 |          0 |          3 |         16 |
| app/auth                                                                                   |          5 |        154 |          5 |         30 |        189 |
| app/auth/login                                                                             |          2 |         52 |          3 |         12 |         67 |
| app/auth/logout                                                                            |          2 |         27 |          1 |          8 |         36 |
| app/auth/signup                                                                            |          1 |         75 |          1 |         10 |         86 |
| app/dashboard                                                                              |          1 |         61 |          2 |          8 |         71 |
| app/debug                                                                                  |          2 |        216 |          4 |         23 |        243 |
| app/debug/rls                                                                              |          1 |         93 |          4 |         11 |        108 |
| app/debug/rls/[searchId]                                                                   |          1 |         93 |          4 |         11 |        108 |
| app/debug/search-tester                                                                    |          1 |        123 |          0 |         12 |        135 |
| app/history                                                                                |          1 |        100 |          1 |          9 |        110 |
| app/new                                                                                    |          1 |         58 |          0 |          6 |         64 |
| app/results                                                                                |          1 |        161 |         20 |         25 |        206 |
| app/results/[searchId]                                                                     |          1 |        161 |         20 |         25 |        206 |
| app/s                                                                                      |          1 |         81 |          4 |         12 |         97 |
| app/s/[id]                                                                                 |          1 |         81 |          4 |         12 |         97 |
| app/watchlist                                                                              |          1 |         64 |          1 |          7 |         72 |
| components                                                                                 |         10 |      1,054 |        106 |        111 |      1,271 |
| docs                                                                                       |          1 |        150 |          0 |         51 |        201 |
| lib                                                                                        |          8 |        285 |         20 |         43 |        348 |
| lib (Files)                                                                                |          5 |        144 |         12 |         23 |        179 |
| lib/external                                                                               |          2 |        121 |          6 |         17 |        144 |
| lib/supabase                                                                               |          1 |         20 |          2 |          3 |         25 |
| scripts                                                                                    |          1 |        187 |         14 |         28 |        229 |
| utils                                                                                      |          4 |         74 |         15 |         13 |        102 |
| utils/supabase                                                                             |          4 |         74 |         15 |         13 |        102 |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                   | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/.prettierignore                       | Ignore             |          4 |          0 |          1 |          5 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/.prettierrc                           | JSON               |          6 |          0 |          1 |          7 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/README.md                             | Markdown           |         20 |          0 |         14 |         34 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/app/(auth)/actions.ts                 | TypeScript         |          8 |          0 |          3 |         11 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/app/actions/auth.ts                   | TypeScript         |         24 |          1 |          4 |         29 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/app/api/competitors/[id]/page.tsx     | TypeScript JSX     |         85 |          4 |         10 |         99 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/app/api/competitors/route.ts          | TypeScript         |         19 |          0 |          6 |         25 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/app/api/debug/whoami/route.ts         | TypeScript         |         10 |          0 |          3 |         13 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/app/api/export-csv/route.ts           | TypeScript         |        132 |         14 |         22 |        168 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/app/api/export/xlsx/route.ts          | TypeScript         |         86 |          4 |         11 |        101 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/app/api/health/route.ts               | TypeScript         |         20 |          2 |          5 |         27 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/app/api/insights/placeholder/route.ts | TypeScript         |         80 |          8 |         17 |        105 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/app/api/insights/route.ts             | TypeScript         |         55 |          5 |         14 |         74 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/app/api/menus/placeholder/route.ts    | TypeScript         |         69 |          6 |         14 |         89 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/app/api/ping/route.ts                 | TypeScript         |         11 |          1 |          3 |         15 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/app/api/search/[id]/route.ts          | TypeScript         |         42 |          9 |         10 |         61 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/app/api/search/route.ts               | TypeScript         |        194 |         16 |         33 |        243 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/app/api/watchlist/route.ts            | TypeScript         |         60 |          3 |         12 |         75 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/app/api/whoami/route.ts               | TypeScript         |         13 |          0 |          3 |         16 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/app/auth/login/actions.ts             | TypeScript         |         16 |          3 |          7 |         26 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/app/auth/login/page.tsx               | TypeScript JSX     |         36 |          0 |          5 |         41 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/app/auth/logout/actions.ts            | TypeScript         |         11 |          1 |          5 |         17 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/app/auth/logout/page.tsx              | TypeScript JSX     |         16 |          0 |          3 |         19 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/app/auth/signup/page.tsx              | TypeScript JSX     |         75 |          1 |         10 |         86 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/app/dashboard/page.tsx                | TypeScript JSX     |         61 |          2 |          8 |         71 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/app/debug/rls/[searchId]/page.tsx     | TypeScript JSX     |         93 |          4 |         11 |        108 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/app/debug/search-tester/page.tsx      | TypeScript JSX     |        123 |          0 |         12 |        135 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/app/globals.css                       | PostCSS            |         62 |          5 |          4 |         71 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/app/history/page.tsx                  | TypeScript JSX     |        100 |          1 |          9 |        110 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/app/layout.tsx                        | TypeScript JSX     |         17 |          1 |          3 |         21 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/app/new/page.tsx                      | TypeScript JSX     |         58 |          0 |          6 |         64 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/app/page.tsx                          | TypeScript JSX     |         81 |          6 |          9 |         96 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/app/results/[searchId]/page.tsx       | TypeScript JSX     |        161 |         20 |         25 |        206 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/app/s/[id]/page.tsx                   | TypeScript JSX     |         81 |          4 |         12 |         97 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/app/watchlist/page.tsx                | TypeScript JSX     |         64 |          1 |          7 |         72 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/components/ActionsCard.tsx            | TypeScript JSX     |         23 |          0 |          1 |         24 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/components/GeneratePlaceholders.tsx   | TypeScript JSX     |         71 |          2 |         10 |         83 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/components/MenuCard.tsx               | TypeScript JSX     |         34 |          0 |          2 |         36 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/components/Navbar.tsx                 | TypeScript JSX     |         61 |          9 |          5 |         75 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/components/RawLeafletMap.tsx          | TypeScript JSX     |        290 |          8 |         16 |        314 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/components/ResultsMap.old.tsx         | TypeScript JSX     |          0 |         63 |          7 |         70 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/components/ResultsTable.tsx           | TypeScript JSX     |        208 |         15 |         27 |        250 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/components/ResultsView.tsx            | TypeScript JSX     |        108 |          3 |         16 |        127 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/components/SearchForm.tsx             | TypeScript JSX     |        108 |          1 |         17 |        126 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/components/WatchlistItem.tsx          | TypeScript JSX     |        151 |          5 |         10 |        166 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/docs/buildlog'.md                     | Markdown           |        150 |          0 |         51 |        201 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/lib/external/google.ts                | TypeScript         |         80 |          6 |         12 |         98 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/lib/external/yelp.ts                  | TypeScript         |         41 |          0 |          5 |         46 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/lib/geo.ts                            | TypeScript         |          9 |          1 |          1 |         11 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/lib/normalize.ts                      | TypeScript         |        100 |          6 |         11 |        117 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/lib/supabase.ts                       | TypeScript         |         22 |          0 |          3 |         25 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/lib/supabase/server.ts                | TypeScript         |         20 |          2 |          3 |         25 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/lib/supabaseClient.ts                 | TypeScript         |          3 |          1 |          3 |          7 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/lib/validators.ts                     | TypeScript         |         10 |          4 |          5 |         19 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/middleware.ts                         | TypeScript         |         30 |          2 |          5 |         37 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/next-env.d.ts                         | TypeScript         |          0 |          4 |          2 |          6 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/next.config.mjs                       | JavaScript         |          4 |          1 |          1 |          6 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/package-lock.json                     | JSON               |      7,811 |          0 |          1 |      7,812 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/package.json                          | JSON               |         41 |          0 |          1 |         42 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/postcss.config.js                     | JavaScript         |          6 |          0 |          1 |          7 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/scripts/make-build-log.ps1            | PowerShell         |        187 |         14 |         28 |        229 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/tailwind.config.ts                    | TypeScript         |          6 |          0 |          2 |          8 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/tsconfig.json                         | JSON with Comments |         41 |          0 |          1 |         42 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/tsconfig.tsbuildinfo                  | JSON               |          1 |          0 |          0 |          1 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/utils/supabase/client.ts              | TypeScript         |          8 |          0 |          3 |         11 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/utils/supabase/middleware.ts          | TypeScript         |         26 |          2 |          4 |         32 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/utils/supabase/route.ts               | TypeScript         |         20 |         10 |          3 |         33 |
| /Users/alexanderabiaad/Desktop/Foodie-Zap/Foodie-Zap/utils/supabase/server.ts              | TypeScript         |         20 |          3 |          3 |         26 |
| Total                                                                                      |                    |     11,683 |        284 |        582 |     12,549 |
+--------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
